,text,emotion,X,y,NaiveBayes,SVM
  (0, 1396)	0.184422945709
  (0, 492)	0.170612440786
  (0, 3800)	0.27593564884
  (0, 572)	0.433310961906
  (0, 1331)	0.344584111305
  (0, 3227)	0.419065118811
  (0, 1383)	0.433310961906
  (0, 3356)	0.433310961906",,positive,positive
8032,Pittsburgh at center of race to create components for selfdrivingcars  by  AutonomousVehicles LIDAR  ,,"  (0, 3078)	0.0671159710225
  (0, 264)	0.239048936311
  (0, 2531)	0.302639772408
  (0, 2722)	0.356244700918
  (0, 2014)	0.364202534332
  (0, 756)	0.405510796651
  (0, 533)	0.388366318758
  (0, 660)	0.521477750194",,positive,positive
8034,Ubers Driverless Truck Unit Is Under Gove  selfdrivingcars autonomouscars flyingcar cars via ooru,,"  (0, 3078)	0.0671772843357
  (0, 509)	0.161654954373
  (0, 254)	0.247257269837
  (0, 1016)	0.242850957896
  (0, 1332)	0.320414346268
  (0, 2395)	0.463448003154
  (0, 3593)	0.415076284998
  (0, 3628)	0.370505194015
  (0, 3658)	0.47141310639",,positive,positive
8036,Failed Google deal left Fields in the lurch  selfdrivingcars autonomouscars flyingcar cars via News,,"  (0, 3078)	0.0714888075364
  (0, 509)	0.172030174109
  (0, 254)	0.26312655461
  (0, 1478)	0.22073404214
  (0, 1332)	0.340978944874
  (0, 2312)	0.335455631531
  (0, 823)	0.413669721117
  (0, 1989)	0.472977858229
  (0, 1302)	0.472977858229",,positive,neutral
8038,Interview with Lars Thomsen Future Matters about robotics AI machinelearning selfdrivingcars bigdata digital ,,"  (0, 3078)	0.0646120074556
  (0, 70)	0.194885908698
  (0, 1396)	0.213667475302
  (0, 2093)	0.303787543431
  (0, 2936)	0.309497740019
  (0, 357)	0.322970920807
  (0, 921)	0.385162775467
  (0, 2140)	0.485517599665
  (0, 1809)	0.485517599665",,positive,positive
8040,Visiting Singaporean and now also Boston based selfdrivingcars startup   They will talk Tuesday & Friday  pictwittercomTDNSgQJHb,,"  (0, 3078)	0.0601753035353
  (0, 3295)	0.303204409233
  (0, 3401)	0.339425081854
  (0, 1377)	0.440255555343
  (0, 310)	0.415142179956
  (0, 3610)	0.467550143829
  (0, 402)	0.452178628742",,positive,positive
8042,Waymos lidar wipers make selfdriving ca  selfdrivingcars autonomouscars flyingcar cars via oblog,,"  (0, 3078)	0.05857077223
  (0, 509)	0.140944302915
  (0, 2105)	0.266359468044
  (0, 3071)	0.144842948162
  (0, 254)	0.21557955754
  (0, 1332)	0.279364012405
  (0, 2358)	0.392467558307
  (0, 3816)	0.419034356169
  (0, 2014)	0.317832303682
  (0, 469)	0.392467558307
  (0, 3863)	0.419034356169",,positive,positive
8044,Driverless cars Should we believe the hype   AutonomousCars Tech SelfDrivingCars DriverlessCars AutoTech,,"  (0, 3078)	0.0772372869284
  (0, 509)	0.185863275328
  (0, 254)	0.284284797821
  (0, 3427)	0.254820736591
  (0, 1018)	0.312781838861
  (0, 1016)	0.279218627268
  (0, 1674)	0.466663199181
  (0, 273)	0.419125510898
  (0, 336)	0.494470964197",,positive,neutral
8046,Ford faces lots of bumps in the road to a world of driverlesscars bumpsinroadtoworldofdriverlesscars  AutonomousCars Tech SelfDrivingCars AutoTech,,"  (0, 3078)	0.0608397130586
  (0, 254)	0.223930775072
  (0, 3427)	0.200721971371
  (0, 1018)	0.246377858196
  (0, 3890)	0.289575713235
  (0, 2072)	0.389494152034
  (0, 2914)	0.24345702474
  (0, 1247)	0.402522271239
  (0, 1351)	0.284925768387
  (0, 273)	0.330144633928
  (0, 455)	0.445116519335",,positive,positive
8048,Automakers most trusted to develop selfdriving tech  survey phpud   AutonomousCars SelfDrivingCars DriverlessCars,,"  (0, 3078)	0.0696909873514
  (0, 3071)	0.172342751922
  (0, 254)	0.256509375679
  (0, 903)	0.401095130879
  (0, 3427)	0.229924035875
  (0, 1018)	0.282222175878
  (0, 225)	0.39309928985
  (0, 3381)	0.437896615061
  (0, 3602)	0.509874359351",,positive,neutral
8050,Nederlander wil geen zelfrijdende auto utmsourcetwitter&utmmediumsocial&utmcampaignsocialsharingweb  nieuws selfdrivingcars,,"  (0, 3078)	0.0618849143685
  (0, 219)	0.290390114861
  (0, 1435)	0.480833480082
  (0, 3853)	0.452763438521
  (0, 3715)	0.362169086971
  (0, 3721)	0.358096828725
  (0, 3942)	0.465025252471",,positive,positive
8052,Faster cars selfdrivingcars ,,"  (0, 3078)	0.145872229158
  (0, 509)	0.351025927616
  (0, 1269)	0.924933560264",,positive,neutral
8054,Uber and Google do battle over self driving car tech  via e,,"  (0, 492)	0.277856214264
  (0, 3427)	0.299644938022
  (0, 3624)	0.310288900011
  (0, 1478)	0.280433861541
  (0, 3062)	0.400500964364
  (0, 1024)	0.341897683403
  (0, 313)	0.617083004766",,positive,neutral
8056,Tech rivals race to develop the sensors that let selfdrivingcars see utmsourcetwitter&utmmediumsocial&utmcampaignarticletitle  via es,,"  (0, 3078)	0.0565080406669
  (0, 903)	0.325222827633
  (0, 3427)	0.186430947004
  (0, 1999)	0.328808350957
  (0, 2722)	0.299938892936
  (0, 3715)	0.33070200878
  (0, 1165)	0.378645728934
  (0, 3110)	0.343866392043
  (0, 3721)	0.326983568884
  (0, 2909)	0.424621511493",,positive,neutral
8058,Wow  Now Imagine selfdrivingcars that can become transformers that can also fly like drones backed up by AI  fiction no more    ,,"  (0, 3078)	0.0575038258846
  (0, 70)	0.173445862502
  (0, 2021)	0.236891340811
  (0, 3901)	0.385318227487
  (0, 1300)	0.385318227487
  (0, 1036)	0.319913516833
  (0, 1708)	0.334602614772
  (0, 1330)	0.446793293652
  (0, 3568)	0.446793293652",,positive,positive
8060,Drivers could lose up to  jobs per month when selfdrivingcars hit Goldman Sachs says  autonomoustrucks,,"  (0, 3078)	0.0528546735583
  (0, 3004)	0.237936584355
  (0, 1020)	0.225532382825
  (0, 1613)	0.257163477989
  (0, 1882)	0.286814088628
  (0, 2230)	0.359110242008
  (0, 260)	0.410670304467
  (0, 2068)	0.397168811923
  (0, 1467)	0.378139526966
  (0, 2972)	0.378139526966",,positive,neutral
8062,ChatBotsLife Building SelfDriving RC Car Series  Hardware Setup ,,"  (0, 3071)	0.154024915564
  (0, 492)	0.190544096949
  (0, 449)	0.371283497523
  (0, 3114)	0.423173993775
  (0, 1566)	0.412076009206
  (0, 3123)	0.46802205196
  (0, 2751)	0.483932153799",,positive,positive
8064,STOP selfdrivingcars world MORE CHAOS IN TRAFFIC  MORE HACKS MORE WARS DUE TO LITHIUM TESLA BREXIT pictwittercomnPcTdUKgT,,"  (0, 3078)	0.0565229752064
  (0, 3559)	0.25885561751
  (0, 3463)	0.237142945292
  (0, 3890)	0.269029553834
  (0, 3319)	0.330789410186
  (0, 1545)	0.413534330152
  (0, 3806)	0.384033765396
  (0, 553)	0.424733734933
  (0, 422)	0.439172278905",,positive,positive
8066,Stunning view of hundreds of ship in Singapore harbour sunrise  First day icra workshops & selfdrivingcars on agenda QUT robotics pictwittercomFehKXUgkWA,,"  (0, 3078)	0.049571091333
  (0, 817)	0.26796011464
  (0, 2936)	0.237450302847
  (0, 2720)	0.37249480746
  (0, 1665)	0.347862560737
  (0, 3761)	0.286842937151
  (0, 3178)	0.286842937151
  (0, 3141)	0.38515752345
  (0, 61)	0.38515752345
  (0, 3888)	0.38515752345",,positive,neutral
8068,britishairways and than to think we want more CHAOS CRAZY GOVERMENTS investing in selfdrivingcars  SICKNESS brexit nieuwsuur,,"  (0, 3078)	0.0585784636897
  (0, 3498)	0.26326817678
  (0, 3800)	0.28983846337
  (0, 1825)	0.378872377878
  (0, 3160)	0.368072141608
  (0, 753)	0.404125773962
  (0, 553)	0.440179406316
  (0, 422)	0.455143015728",,positive,neutral
8070,I have no interest in a self driving car Stop talking about it notintetested selfdrivingcars,,"  (0, 3078)	0.0933603181059
  (0, 492)	0.285616470594
  (0, 3062)	0.411686570387
  (0, 1024)	0.351446556258
  (0, 3403)	0.564077616608
  (0, 3319)	0.546372593592",,positive,neutral
8072,Self driving cars should be designed for people with disabilities  selfdrivingcarsshouldbedesignedforpeoplewithdisabilities  selfdrivingcars Disability accessibility,,"  (0, 3078)	0.0623198292164
  (0, 509)	0.149966007827
  (0, 3062)	0.274808797546
  (0, 1024)	0.234597415786
  (0, 884)	0.388225896409
  (0, 2493)	0.283408873175
  (0, 935)	0.429937004641
  (0, 13)	0.455945369755
  (0, 3084)	0.468293357291",,positive,positive
8074,selfdrivingcars tech innovation mobility   ,,"  (0, 3078)	0.135137532651
  (0, 2217)	0.626847665133
  (0, 3427)	0.445844837133
  (0, 1768)	0.624517600383",,positive,neutral
8076,selfdrivingcars AutonomousVehicles  ,,"  (0, 3078)	0.2703105801
  (0, 264)	0.962773176966",,positive,positive
8078,The Future of European Transit Driverless and Utilitarian  AutonomousVehicles AutonomousCar SelfDrivingCars,,"  (0, 3078)	0.0677790159784
  (0, 264)	0.241410523114
  (0, 1396)	0.224140555183
  (0, 1016)	0.245026263243
  (0, 253)	0.324668015933
  (0, 3570)	0.429767111411
  (0, 1179)	0.509315627875
  (0, 3702)	0.526629477668",,positive,positive
8080,Will this solarenergy tradesecret theft suit go as far as selfdrivingcars litigation between Google & Uber   ,,"  (0, 3078)	0.053639791795
  (0, 3624)	0.183254283297
  (0, 1478)	0.165622122826
  (0, 1265)	0.313916155786
  (0, 3485)	0.392440335782
  (0, 3225)	0.416770517061
  (0, 3557)	0.416770517061
  (0, 3360)	0.416770517061
  (0, 2036)	0.403068469537",,neutral,neutral
8082,Public Trust In AutonomousCar Technology Is Eroding   via  AutonomousVehicles SelfDrivingCars SelfDriving,,"  (0, 3078)	0.0953183681444
  (0, 264)	0.339498247118
  (0, 3071)	0.235718139447
  (0, 3601)	0.525712684455
  (0, 3439)	0.359752689397
  (0, 2687)	0.453682028599
  (0, 253)	0.456584165773",,positive,positive
8084,A veteran of turnarounds Jim Hackett takes on a big job navigating Ford into the driverless era   selfdrivingcars,,"  (0, 3078)	0.0515176266777
  (0, 356)	0.253649019267
  (0, 1016)	0.186240112426
  (0, 3397)	0.294950493802
  (0, 1351)	0.241268385873
  (0, 3753)	0.376914116098
  (0, 1878)	0.329814414119
  (0, 1157)	0.345206258722
  (0, 1880)	0.340846316602
  (0, 2282)	0.400281716049
  (0, 1543)	0.326658351178",,neutral,neutral
8086, F Facts Bay Area selfdrivingcars executive takes over as CEO at  ,,"  (0, 3078)	0.0679781430035
  (0, 3397)	0.389190809819
  (0, 535)	0.328496720022
  (0, 162)	0.413665002298
  (0, 1211)	0.439667397559
  (0, 1253)	0.431029718209
  (0, 316)	0.431029718209",,positive,neutral
8088,Judge orders  to give due diligence report it conducted on selfdrivingcars startup Otto to  ,,"  (0, 3078)	0.0586489284787
  (0, 3295)	0.295513485879
  (0, 2842)	0.320797259599
  (0, 2423)	0.375468810043
  (0, 2429)	0.392991263065
  (0, 1890)	0.398478118993
  (0, 929)	0.419593511395
  (0, 672)	0.419593511395",,positive,neutral
8090,Using ritual magic to trap self driving cars with a salt circle   ai selfdrivingcars,,"  (0, 3078)	0.0637411628363
  (0, 70)	0.192259224407
  (0, 509)	0.153386295261
  (0, 3062)	0.281076385053
  (0, 1024)	0.239947898906
  (0, 3694)	0.350083658797
  (0, 2907)	0.478973763528
  (0, 2099)	0.466344154396
  (0, 3578)	0.478973763528",,positive,neutral
8092,Toyota pushes into blockchain tech to enable the next generation of cars  cryptocurrency tesla selfdrivingcars IT,,"  (0, 3078)	0.0600256880168
  (0, 509)	0.144445402244
  (0, 3427)	0.198036345438
  (0, 3463)	0.251838626638
  (0, 1441)	0.368006112138
  (0, 1124)	0.384282786341
  (0, 3550)	0.322050072563
  (0, 378)	0.319732339979
  (0, 2700)	0.407832229379
  (0, 772)	0.466387660999",,positive,neutral
8094,Selfdriving vehicles make inroads in factories autoplantsintowalleworldsXIgnoreUserAgent  AutonomousCars Tech SelfDrivingCars DriverlessCars AutoTech,,"  (0, 3078)	0.0753582983836
  (0, 2105)	0.34270328879
  (0, 3071)	0.18635776328
  (0, 254)	0.277368865117
  (0, 3427)	0.248621590245
  (0, 3745)	0.316566298664
  (0, 1018)	0.305172644965
  (0, 273)	0.408929243459
  (0, 1772)	0.585518994969",,positive,positive
8096,Driverless cars Should we believe the hype   AutonomousCars Tech SelfDrivingCars DriverlessCars AutoTech,,"  (0, 3078)	0.0772372869284
  (0, 509)	0.185863275328
  (0, 254)	0.284284797821
  (0, 3427)	0.254820736591
  (0, 1018)	0.312781838861
  (0, 1016)	0.279218627268
  (0, 1674)	0.466663199181
  (0, 273)	0.419125510898
  (0, 336)	0.494470964197",,positive,neutral
8098,Just a Few SelfDrivingCars Could Fix Phantom TrafficJams    AutonomousCars Tech DriverlessCars AutoTech,,"  (0, 3078)	0.0847568569363
  (0, 254)	0.311961837297
  (0, 3427)	0.279629251292
  (0, 1323)	0.575863085648
  (0, 1018)	0.343233257186
  (0, 1895)	0.395399059547
  (0, 273)	0.459930201827",,positive,positive
8100,A boring release Awesome news boringcompany electricvehicles newtech selfdrivingcars via    ,,"  (0, 3078)	0.0628632976134
  (0, 1098)	0.411053634669
  (0, 2312)	0.294981101627
  (0, 284)	0.391611472209
  (0, 2313)	0.441139928458
  (0, 2820)	0.411053634669
  (0, 397)	0.47237717208",,positive,positive
8102,Nio electric SUV will sell in China in  tesla selfdrivingcars AutonomousVehicles future theelectricsuvseatssevenandcomeswithallwheeldrivebutniohasyettodiscloseanyspecslikehorsepoweraccelerationorrangethestartupsaiditwillbepricedinthesamerangeasapremiumcar ,,"  (0, 3078)	0.0605874453994
  (0, 264)	0.215796093774
  (0, 1396)	0.200358524728
  (0, 3463)	0.254195487715
  (0, 1092)	0.332762592001
  (0, 3097)	0.411648974731
  (0, 574)	0.368690650157
  (0, 2325)	0.470752404167
  (0, 3383)	0.455275609265",,positive,positive
8104,AutonomousVehicles are coming with lots of big brands working on them selfdrivingcars tech   via ,,"  (0, 3078)	0.0725255932531
  (0, 264)	0.258316547587
  (0, 3427)	0.239275948566
  (0, 635)	0.348157787703
  (0, 356)	0.357082551871
  (0, 3886)	0.395109515598
  (0, 2072)	0.464306832244
  (0, 414)	0.50034534297",,positive,positive
8106,Watch this documentary about the AI powered future of selfdrivingcars ,,"  (0, 3078)	0.0775111625101
  (0, 70)	0.233792973394
  (0, 1396)	0.256324095992
  (0, 3809)	0.414350502637
  (0, 2591)	0.582446437607
  (0, 966)	0.602246321179",,positive,positive
8108,Buffett has an interesting theory about why selfdrivingcars will hurt the insurance industry feb ai  fettselfdrivingcarswillhurttheinsuranceindustryhtml ,,"  (0, 3078)	0.0632058415329
  (0, 70)	0.190644562013
  (0, 1801)	0.320228330368
  (0, 1785)	0.284064921032
  (0, 1749)	0.289978095497
  (0, 1670)	0.474951168898
  (0, 446)	0.49109682151
  (0, 3491)	0.474951168898",,positive,positive
8110,The coasttocoast test is still on track for the end of  selfdrivingcars mobility ,,"  (0, 3078)	0.0804469740427
  (0, 2217)	0.373160563586
  (0, 3469)	0.320228919347
  (0, 1126)	0.4537695557
  (0, 3553)	0.497067296708
  (0, 611)	0.546580470039",,positive,positive
8112,Researchers find a more effective way to test selfdrivingcars ,,"  (0, 2853)	0.527051390317
  (0, 3078)	0.0915761098763
  (0, 3469)	0.364529791862
  (0, 3814)	0.426394306442
  (0, 1081)	0.631772565361",,positive,neutral
8114,It would be like riding in a taxi tech selfdrivingcars ,,"  (0, 3078)	0.0977267854667
  (0, 2021)	0.402592851628
  (0, 3427)	0.322419552106
  (0, 3412)	0.543687644196
  (0, 2897)	0.654841850517",,positive,neutral
8116,Researchers find a more effective way to test selfdriving cars   via  selfdrivingcars technology,,"  (0, 2853)	0.477305484682
  (0, 3078)	0.0829326709174
  (0, 509)	0.199568608135
  (0, 3071)	0.205088854001
  (0, 3469)	0.330123536683
  (0, 3439)	0.313006317483
  (0, 3814)	0.386148950256
  (0, 1081)	0.572142519796",,positive,positive
8118,selfdrivingcars technology When will the robots hit the road  ,,"  (0, 3078)	0.110428128185
  (0, 3439)	0.416780279319
  (0, 2914)	0.441890702369
  (0, 1613)	0.53728610168
  (0, 2938)	0.574592098256",,positive,positive
8120,Top robotics and ai opportunities  roboadvisors  selfdrivingcars  dataanalytics  ArtificialIntelligence and Robots  pictwittercomgZtYBcy,,"  (0, 3078)	0.0666627456025
  (0, 70)	0.201071445767
  (0, 179)	0.343666731253
  (0, 2936)	0.319320973298
  (0, 2938)	0.346867120732
  (0, 2412)	0.426773044535
  (0, 812)	0.452926356262
  (0, 2925)	0.476926965797",,positive,positive
8122,selfdrivingcars   ,,"  (0, 3078)	1.0",,positive,neutral
8124,Researchers find a more effective way to test selfdriving cars    selfdrivingcars selfdrivingcar,,"  (0, 2853)	0.457790134798
  (0, 3078)	0.0795418444096
  (0, 509)	0.191408946579
  (0, 3071)	0.196703488923
  (0, 3469)	0.316625941265
  (0, 3814)	0.370360671861
  (0, 3073)	0.412585125131
  (0, 1081)	0.548749615638",,positive,neutral
8126,Would you ever buy a car that drives itself ,,"  (0, 492)	0.309113683701
  (0, 464)	0.572692668055
  (0, 1021)	0.759257425716",,neutral,neutral
8128,bc you asked ,,"  (0, 318)	0.697597457838
  (0, 186)	0.71648990699",,positive,positive
8130,Ford invests big in selfdrivingcars investsb iginselfdrivingcarshtml  autonomous driverless smartcity Robot AI IoT tech G technology,,"  (0, 3078)	0.0534291309425
  (0, 70)	0.161155567591
  (0, 252)	0.182534584316
  (0, 3427)	0.176273028787
  (0, 3439)	0.20165340556
  (0, 3202)	0.297244590568
  (0, 1838)	0.193890485775
  (0, 2930)	0.291074599995
  (0, 356)	0.263060384141
  (0, 1016)	0.193150344752
  (0, 1351)	0.250220381108
  (0, 1830)	0.390899095354
  (0, 1831)	0.401485488982
  (0, 1697)	0.415133724123",,positive,positive
8132,Ford names Jim Hackett CEO to take its selfdrivingcars plans up a gear machinelearning bigdata  ,,"  (0, 3078)	0.0580920211441
  (0, 2093)	0.273132395839
  (0, 2539)	0.321772542343
  (0, 535)	0.280723149561
  (0, 357)	0.290379981977
  (0, 1351)	0.272057722325
  (0, 2268)	0.375726176486
  (0, 1878)	0.371903504766
  (0, 1432)	0.407657743459
  (0, 1543)	0.368344682535",,neutral,neutral
8134,  selfdrivingcars research automation AutonomousVehicles tech news,,"  (0, 3078)	0.10216946305
  (0, 2851)	0.506789785042
  (0, 264)	0.363899994197
  (0, 3427)	0.337076804054
  (0, 2312)	0.479422205124
  (0, 234)	0.506789785042",,positive,positive
8136,No one wants to stay behind the race selfdrivingcars tesla autonomous cars investsb iginselfdrivingcarshtmlutmsourcetwitter&utmmediumtwsocialshare&utmcampaignorganic ,,"  (0, 3078)	0.061226570601
  (0, 252)	0.209173655206
  (0, 509)	0.147335197824
  (0, 3463)	0.256876946576
  (0, 2722)	0.324984366607
  (0, 3801)	0.330964649679
  (0, 1831)	0.460078223298
  (0, 3303)	0.460078223298
  (0, 3704)	0.475718279906",,positive,positive
8138,  s selfdrivingcars are racking up miles faster than ever  via ,,"  (0, 3078)	0.0893889058244
  (0, 1269)	0.566789164666
  (0, 2183)	0.493009716345
  (0, 2724)	0.6539885977",,positive,positive
8140,MonteCarloSimulation selfdrivingcars WhitePaperAcceleratedAVTestingpdf ,,"  (0, 3078)	1.0",,positive,neutral
8142,Dit was  Wil nder dit in  herhalen selfdrivingcars autonoom  ,,"  (0, 3078)	0.135423519487
  (0, 3853)	0.990787802897",,positive,positive
8144,Automakers most trusted to develop selfdriving tech survey ,,"  (0, 3071)	0.186965314678
  (0, 903)	0.435126377665
  (0, 3427)	0.249432130102
  (0, 225)	0.426452122917
  (0, 3381)	0.475050314089
  (0, 3602)	0.553135069385",,neutral,neutral
8146,What SelfDriving Cars See  selfdrivingcars selfdriving selfdrivingcar ,,"  (0, 3078)	0.131128005354
  (0, 509)	0.315545528999
  (0, 3071)	0.648547600071
  (0, 3073)	0.680163565463",,positive,neutral
8148,Taiwan  Taipei Taipei gears up for Xinyi trial of selfdriving buses  driverless selfdrivingcars  ,,"  (0, 3078)	0.075742128454
  (0, 3071)	0.187306958192
  (0, 1016)	0.273813516429
  (0, 3582)	0.514614361383
  (0, 459)	0.522535832369
  (0, 1434)	0.5885012783",,positive,neutral
8150,follow me  Lawyers Not Ethicists Will Solve the ,,"  (0, 1341)	0.470504083011
  (0, 3231)	0.444044153254
  (0, 1966)	0.525797230117
  (0, 1177)	0.552257159874",,positive,positive
8152,Selfdriving car technology When will the robots hit the road  via  AutonomousVehicles selfdrivingcars,,"  (0, 3078)	0.0952745083734
  (0, 264)	0.339342030477
  (0, 3071)	0.235609676159
  (0, 492)	0.29147253749
  (0, 3439)	0.359587152881
  (0, 2914)	0.381251770859
  (0, 1613)	0.463556432904
  (0, 2938)	0.495743073586",,positive,positive
8154,autonomouscars forecasts Infographic prepared by    continental selfdrivingcars uber Intel Honda,,"  (0, 3078)	0.056004039681
  (0, 254)	0.2061322676
  (0, 3624)	0.19133146886
  (0, 1795)	0.315896632606
  (0, 1758)	0.370528921286
  (0, 1622)	0.366201980185
  (0, 2608)	0.40973768544
  (0, 1355)	0.435140253053
  (0, 704)	0.435140253053",,positive,positive
8156,technology Transportation selfdrivingcars  ,,"  (0, 3078)	0.167492427904
  (0, 3576)	0.756523686617
  (0, 3439)	0.632153619132",,positive,positive
8158,What SelfDriving Cars See ,,"  (0, 509)	0.69739570094
  (0, 3071)	0.716686288631",,positive,neutral
8160,A New Approach to Testing AutonomousCars is  Faster and Cheaper ,,"  (0, 2309)	0.300633780626
  (0, 3475)	0.310937332667
  (0, 254)	0.289291545254
  (0, 1269)	0.498364424711
  (0, 563)	0.465562757823
  (0, 154)	0.513937667092",,positive,positive
8162,Meet the Nerds Coding Their Way Through the Afghani  selfdrivingcars autonomouscars flyingcar cars via ,,"  (0, 3078)	0.0806663623545
  (0, 509)	0.194114978817
  (0, 254)	0.296906085452
  (0, 1332)	0.384752971413
  (0, 3814)	0.375596623135
  (0, 616)	0.606155731208
  (0, 2158)	0.459485197375",,positive,positive
8164,Heres why Ford is panicking in selfdriving cars Alphabet is years ahead of everybody selfdrivingcars  dpanickingselfdrivingcarsbecausealphabetgoogleiswayaheadhtml ,,"  (0, 3078)	0.0566185622788
  (0, 509)	0.136246518333
  (0, 3071)	0.140015218665
  (0, 3924)	0.260696462732
  (0, 1592)	0.294604092588
  (0, 101)	0.34983585188
  (0, 69)	0.339747310488
  (0, 1351)	0.265157190119
  (0, 1190)	0.390604649906
  (0, 2454)	0.414233665879
  (0, 993)	0.414233665879",,positive,positive
8166,CNET Mehrheit der Deutschen vertraut Autopiloten autonomouscar selfdriving selfdrivingcars SelfDrivingCar  ,,"  (0, 3078)	0.0507495023533
  (0, 3071)	0.125501291152
  (0, 608)	0.371294352157
  (0, 253)	0.243095005155
  (0, 902)	0.381349806903
  (0, 878)	0.321787897288
  (0, 3073)	0.263238675621
  (0, 2163)	0.394313542775
  (0, 3752)	0.394313542775
  (0, 270)	0.394313542775",,neutral,positive
8168,California DMV investigates Ubers selfd  selfdrivingcars autonomouscars flyingcar cars via oblog,,"  (0, 3078)	0.0608972251125
  (0, 509)	0.146542663109
  (0, 476)	0.241656003886
  (0, 965)	0.263084762194
  (0, 254)	0.224142457839
  (0, 1332)	0.290460455003
  (0, 2358)	0.408056515863
  (0, 1823)	0.473159330945
  (0, 3628)	0.335868566709
  (0, 3064)	0.457603404185",,positive,neutral
8170,Testing of self driving cars are more effective than before selfdrivingcars technology ArtificialIntelligence  ,,"  (0, 3078)	0.0831966682487
  (0, 509)	0.200203889494
  (0, 3475)	0.329131681234
  (0, 179)	0.428904131831
  (0, 3062)	0.366868405269
  (0, 1024)	0.313186406616
  (0, 3439)	0.314002702039
  (0, 1081)	0.573963805626",,positive,positive
8172,Engadget Researchers find a more effective way to test SelfDrivingCars autonomouscar selfdriving SelfDrivingCar  ,,"  (0, 2853)	0.378121340456
  (0, 3078)	0.0656992506922
  (0, 3071)	0.162471362422
  (0, 3469)	0.261523821144
  (0, 253)	0.314705739861
  (0, 3814)	0.305907146204
  (0, 3073)	0.34078331687
  (0, 1129)	0.493687531962
  (0, 1081)	0.453251226856",,positive,positive
8174,Top robotics and ai opportunities  roboadvisors  selfdrivingcars  dataanalytics  ArtificialIntelligence and Robots  pictwittercomFzrohfEdV,,"  (0, 3078)	0.0666627456025
  (0, 70)	0.201071445767
  (0, 179)	0.343666731253
  (0, 2936)	0.319320973298
  (0, 2938)	0.346867120732
  (0, 2412)	0.426773044535
  (0, 812)	0.452926356262
  (0, 2925)	0.476926965797",,positive,positive
8176,How can opendata help make selfdrivingcars safer Watch the full film  opensourcestories AI,,"  (0, 3078)	0.0604062281728
  (0, 70)	0.182200230763
  (0, 2105)	0.274706482262
  (0, 1588)	0.3104796338
  (0, 3809)	0.322912857907
  (0, 2978)	0.327792342937
  (0, 2401)	0.432165805013
  (0, 1306)	0.432165805013
  (0, 2407)	0.453913878584",,positive,positive
8178, Wisconsin gives autonomousvehicle innovation a lane to drive itself cfabccaedbdebchtml  AutonomousCars Tech SelfDrivingCars,,"  (0, 3078)	0.0688926792027
  (0, 254)	0.253571068552
  (0, 3427)	0.22729026301
  (0, 1768)	0.318377062654
  (0, 1010)	0.295162603756
  (0, 263)	0.308112659966
  (0, 1944)	0.388596349394
  (0, 1451)	0.436828527397
  (0, 3869)	0.504033764012",,positive,neutral
8180, Ford invests big in selfdriving cars investsb iginselfdrivingcarshtml  AutonomousCars Tech SelfDrivingCars DriverlessCars AutoTech,,"  (0, 3078)	0.0577619537885
  (0, 509)	0.138997967787
  (0, 3071)	0.142842775667
  (0, 254)	0.212602565516
  (0, 3427)	0.190567848725
  (0, 356)	0.284393204311
  (0, 1018)	0.233914095648
  (0, 1351)	0.270511944244
  (0, 273)	0.313443277915
  (0, 1830)	0.422598965835
  (0, 1831)	0.434043860572
  (0, 1697)	0.448798896142",,positive,positive
8182,The crossover between car simulations and autonomousvehicles    AutonomousCars Tech SelfDrivingCars AutoTech,,"  (0, 3078)	0.114017073582
  (0, 264)	0.406097978554
  (0, 254)	0.41965897561
  (0, 492)	0.348811516547
  (0, 3427)	0.376164360886
  (0, 273)	0.618709772397",,positive,positive
8184,On adio  mentions ect  and more listen now on o  AI Ethics selfdrivingcars,,"  (0, 3078)	0.0822714225064
  (0, 70)	0.248151103277
  (0, 1178)	0.44820346082
  (0, 2033)	0.567580646558
  (0, 2168)	0.639232594869",,neutral,neutral
8186,As the tech wars heat up   teams up with  on selfdrivingcars ,,"  (0, 3078)	0.0815907332162
  (0, 3427)	0.269183597249
  (0, 3806)	0.554351507223
  (0, 3425)	0.522341606332
  (0, 1585)	0.583726644893",,positive,neutral
8188,Ford lures engineer back from Uber to oversee selfdriving cars  announcesmoremanagementchanges  via  Uber Ford selfdrivingcars,,"  (0, 3078)	0.0524489052247
  (0, 509)	0.126212684315
  (0, 3071)	0.12970383984
  (0, 3624)	0.358371507982
  (0, 1351)	0.491259536606
  (0, 1132)	0.310674454574
  (0, 2081)	0.407517565194
  (0, 2437)	0.407517565194
  (0, 131)	0.407517565194",,positive,neutral
8190,Will it soon not make sense to buy a new car when considering autonomous cars and new regulations selfdrivingcars ai,,"  (0, 3078)	0.0578817271448
  (0, 70)	0.174585706834
  (0, 2309)	0.442792382109
  (0, 252)	0.197746375759
  (0, 509)	0.139286189567
  (0, 2105)	0.263225931037
  (0, 492)	0.177077102503
  (0, 3237)	0.289328802029
  (0, 2813)	0.336801542371
  (0, 464)	0.328069456745
  (0, 694)	0.4141047035
  (0, 3107)	0.367011269187",,positive,positive
8192,However AutonomousVehicles will have an impact on Traffic Flow so picture is misleading Future will be selfdrivingcars & carsharing   ,,"  (0, 3078)	0.0600936373862
  (0, 264)	0.214037283188
